"# LeBauer, David, Michael Dietze, Rob Kooper, Steven Long, Patrick Mulrooney, Gareth Scott Rohde, Dan Wang (2010).  Biofuel Ecophysiological Traits and Yields Database (BETYdb), Energy Biosciences Institute, University of Illinois at Urbana-Champaign. doi:10.13012/J8H41PB9 All public data in BETYdb is made available under the Open Data Commons Attribution License (ODC-By) v1.0. You are free to share, create, and adapt its contents. Data with an access_level field and value <= 2 is is not covered by this license but may be available for use with consent."
#
# Contact:,dlebauer@illinois.edu
#
# SQL query:,"SELECT ""traits_and_yields_view"".* FROM ""traits_and_yields_view""  WHERE (traits_and_yields_view.access_level >= 4) AND ((LOWER(sitename) LIKE LOWER('%cassava%') OR LOWER(city) LIKE LOWER('%cassava%') OR LOWER(scientificname) LIKE LOWER('%cassava%') OR LOWER(commonname) LIKE LOWER('%cassava%') OR LOWER(author) LIKE LOWER('%cassava%') OR LOWER(trait) LIKE LOWER('%cassava%') OR LOWER(trait_description) LIKE LOWER('%cassava%') OR citation_year::text = 'cassava') AND (LOWER(sitename) LIKE LOWER('%a_biomass%') OR LOWER(city) LIKE LOWER('%a_biomass%') OR LOWER(scientificname) LIKE LOWER('%a_biomass%') OR LOWER(commonname) LIKE LOWER('%a_biomass%') OR LOWER(author) LIKE LOWER('%a_biomass%') OR LOWER(trait) LIKE LOWER('%a_biomass%') OR LOWER(trait_description) LIKE LOWER('%a_biomass%') OR citation_year::text = 'a_biomass')) AND (checked >= 1)"
#
# Time of query:,2016-10-13 11:40:32 UTC
#
checked,sitename,city,lat,lon,scientificname,commonname,genus,author,citation_year,treatment,date,month,year,dateloc,trait,mean,units,n,statname,stat,notes
checked,CTCRI,Trivandrum,8.55,76.91,Manihot esculenta,cassava,Manihot,Ramanujam,1985,observational,1978-11-30 12:30:00 -0600,11.0,1978.0,5.0,a_biomass,7.04,Mg/ha,"","",[missing],Values are average of 2 seasons (1978 and 1980) - considering season starting on october
checked,CTCRI,Trivandrum,8.55,76.91,Manihot esculenta,cassava,Manihot,Ramanujam,1985,observational,1979-01-31 12:30:00 -0600,1.0,1979.0,5.0,a_biomass,0.430,Mg/ha,"","",[missing],Values are average of 2 seasons (1978 and 1980) - considering season starting on october
checked,CTCRI,Trivandrum,8.55,76.91,Manihot esculenta,cassava,Manihot,Ramanujam,1985,observational,1979-03-31 12:30:00 -0600,3.0,1979.0,5.0,a_biomass,3.21,Mg/ha,"","",[missing],Values are average of 2 seasons (1978 and 1980) - considering season starting on october
checked,CIAT Experimental Station,Santander de Quilichao,3.01,-76.50,Manihot esculenta,cassava,Manihot,El-Sharkawy,2002,control,1991-11-21 23:00:00 -0600,11.0,1991.0,5.0,a_biomass,7.20,Mg/ha,"","",[missing],""
checked,CIAT Experimental Station,Santander de Quilichao,3.01,-76.50,Manihot esculenta,cassava,Manihot,El-Sharkawy,2002,control,1992-01-21 23:00:00 -0600,1.0,1992.0,5.0,a_biomass,6.27,Mg/ha,"","",[missing],""
checked,CIAT Experimental Station,Santander de Quilichao,3.01,-76.50,Manihot esculenta,cassava,Manihot,El-Sharkawy,2002,control,1992-04-22 00:00:00 -0500,4.0,1992.0,5.0,a_biomass,8.26,Mg/ha,"","",[missing],""
checked,CIAT Experimental Station,Santander de Quilichao,3.01,-76.50,Manihot esculenta,cassava,Manihot,El-Sharkawy,2002,control,1991-07-22 00:00:00 -0500,7.0,1991.0,5.0,a_biomass,0.400,Mg/ha,"","",[missing],""
checked,CIAT Experimental Station,Santander de Quilichao,3.01,-76.50,Manihot esculenta,cassava,Manihot,El-Sharkawy,2002,control,1992-04-22 00:00:00 -0500,4.0,1992.0,5.0,a_biomass,8.80,Mg/ha,"","",[missing],""
checked,CIAT Experimental Station,Santander de Quilichao,3.01,-76.50,Manihot esculenta,cassava,Manihot,El-Sharkawy,2002,control,1991-07-22 00:00:00 -0500,7.0,1991.0,5.0,a_biomass,0.530,Mg/ha,"","",[missing],""
checked,CIAT Experimental Station,Santander de Quilichao,3.01,-76.50,Manihot esculenta,cassava,Manihot,El-Sharkawy,2002,control,1991-09-22 00:00:00 -0500,9.0,1991.0,5.0,a_biomass,2.40,Mg/ha,"","",[missing],""
