Unit,Definition
number/m2,Counter per square meter
%,Percent
%/day,Percent per day
1/cm,
1/d,
1/mm2,
C,
MJ/m2.d,
Mg/ha,
boolean,
cm,
cm/cm2,
cm/cm2.d,
cm/cm3,
cm/cm3.d,
cm/g,
cm/h,
cm2,
cm2/g,
cm2/leaf,
cm2/m2.d,
cm2/plant,
cm3/cm3,
cmol/kg,
code,
counts/cm3,
dap,
date,
day,
days,
decimal degrees,
degree angle,
doy,
fraction,
g,
g/MJ,
g/Mg,
g/cm,
g/cm2,
g/cm3,
g/corm,
g/eye,
g/kg,
g/m2,
g/m2.d,
g/plant,
g/plant.d,
g/shoot,
g/unit,
g[C]/100g[soil],
h,
hr,
kPa,kilospascal (air/vapor pressure)
kPa/å¡C,
kg/ha,
kg/ha.d,
kg/hl,
kg[K]/ha,
kg[N]/ha,
kg[P]/ha,
kg[water]/kg[harvest],
km/d,
l/kg,
m,
m2,
m2/m2,
m2/m2.d,
mg,
mg/cm2,
mg/ha,
mg/kg,
mg/l,
mg/m2.s,
mm,
mm/d,
mm/mo,
mmol/kg,
mmol/l,
mole/m2.d,
number,
number/day,
number/m,
number/m2,
number/m2.d,
number/month,
number/plant,
number/shoot,
oC,
percent,
ppb,
ppm,
ratio,
seimen,
t/ha,
text,
unitless,
vpm,
year,
